SampleID,A2,ASF356,Acetatifactor,Acetatifactor-muris,Acidovorax,Acinetobacter,Acinetobacter-sp.-CIP-56.2,Acutalibacter-muris,Adlercreutzia-mucosicola,Adlercreutzia-muris,Akkermansia,Akkermansia-muciniphila,Akkermansia-sp.-KLE1798,Alistipes,Alistipes-finegoldii,Alistipes-inops,Alistipes-obesi,Alistipes-shahii,Alistipes-sp.-N15.MGS-157,Alistipes-sp.-cv1,Allobaculum,Alloprevotella,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Alteromonas,Anaerofilum,Anaerofustis,Anaeroplasma,Anaerostipes,Anaerotruncus,Anaerotruncus-sp.-G3(2012),Anaerovoracaceae,Anaerovorax,Anoxybacillus,Arcobacteraceae,Asticcacaulis,Atopobiaceae,Bacilli,Bacillus,Bacteria,Bacteroidales,Bacteroides,Bacteroides-acidifaciens,Bacteroides-caccae,Bacteroides-caecimuris,Bacteroides-coprocola-DSM-17136,Bacteroides-faecichinchillae,Bacteroides-nordii,Bacteroides-sartorii,Bacteroides-sp.-Smarlab-3302398,Bacteroides-stercorirosoris,Bacteroides-uniformis,Bacteroides-vulgatus-ATCC-8482,Bacteroides-xylanisolvens,Bifidobacterium,Bifidobacterium-choerinum,Bilophila,Blautia,Bosea,Brachybacterium,Bradyrhizobium,Brevinema,Burkholderia-Caballeronia-Paraburkholderia,Burkholderiales,Burkholderiales-bacterium-YL45,Butyricicoccus,Butyricimonas,Butyricimonas-sp.-AT11,Butyricimonas-synergistica,Butyricimonas-virosa,Candidatus-Arthromitus,Candidatus-Gastranaerophilales-bacterium-Zag_111,Candidatus-Saccharimonas,Candidatus-Soleaferrea,Candidatus-Stoquefichus,Caproiciproducens,Catenibacterium,Cellulosimicrobium,Cetobacterium,Chloroplast,Christensenella-minuta,Christensenella-sp.-Marseille-P2437,Christensenellaceae,Christensenellaceae-R-7-group,Clostridia,Clostridia-UCG-014,Clostridia-vadinBB60-group,Clostridiales-bacterium-CIEAF-012,Clostridiales-bacterium-CIEAF-020,Clostridiales-bacterium-CIEAF-021,Clostridiales-bacterium-CIEAF-026,Clostridium-isatidis,Clostridium-sensu-stricto-1,Clostridium-sp.-ASF356,Clostridium-sp.-Clone-44,Clostridium-sp.-Clone-47,Clostridium-sp.-Clone-49,Clostridium-sp.-Culture-27,Clostridium-sp.-Culture-41,Clostridium-sp.-Culture-54,Clostridium-sp.-ND2,Colidextribacter,Collinsella,Coprococcus,Coriobacteriaceae-UCG-002,Corynebacterium,Corynebacterium-propinquum,Corynebacterium-tuberculostearicum,DNF00809,Defluviitaleaceae-UCG-011,Desmonostoc-PCC-7422,Desulfovibrio,Desulfovibrio-fairfieldensis,Desulfovibrionaceae,Devosia,Dialister,Dialister-invisus-DSM-15470,Dialister-sp.-Marseille-P5638,Dielma,Dorea-sp.-5-2,Dubosiella,Dubosiella-newyorkensis,Dyadobacter-fermentans,Eggerthella,Eisenbergiella,Elizabethkingia,Endozoicomonas,Enterobacterales,Enterobacteriaceae,Enterococcus,Enterorhabdus,Erysipelatoclostridium,Erysipelatoclostridium-ramosum,Erysipelotrichaceae,Erysipelotrichaceae-UCG-003,Escherichia-Shigella,Ethanoligenenaceae,Eubacterium-plexicaudatum,Eubacterium-sp.-14-2,Faecalibacterium,Faecalibaculum,Faecalibaculum-rodentium,Faecalitalea,Family-XIII-AD3011-group,Family-XIII-UCG-001,Firmicutes,Flavobacterium,Flavonifractor,Frisingicoccus,Fusicatenibacter,Fusobacterium,GCA-900066575,Gastranaerophilales,Harryflintia,Helicobacter,Helicobacter-ganmani,Helicobacter-hepaticus,Helicobacter-mastomyrinus,Holdemanella,Incertae-Sedis,Intestinimonas,Klebsiella,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae-AC2044-group,Lachnospiraceae-FCS020-group,Lachnospiraceae-NC2004-group,Lachnospiraceae-NK4A136-group,Lachnospiraceae-UCG-001,Lachnospiraceae-UCG-006,Lachnospiraceae-UCG-010,Lachnospiraceae-bacterium-10-1,Lachnospiraceae-bacterium-28-4,Lachnospiraceae-bacterium-3-2,Lachnospiraceae-bacterium-595,Lachnospiraceae-bacterium-A4,Lachnospiraceae-bacterium-COE1,Lachnospiraceae-bacterium-DW59,Lactobacillales,Lactobacillus,Lactobacillus-intestinalis,Lactobacillus-mucosae-LM1,Lactobacillus-murinus,Lactococcus,Lactococcus-raffinolactis,Leuconostoc,Lysinibacillus,Lysobacter,Malacoplasma-muris,Marvinbryantia,Megamonas,Megasphaera,Methyloprofundus,Micrococcaceae,Monoglobus,Morganella,Mucilaginibacter,Mucispirillum,Mucispirillum-schaedleri,Muribaculaceae,Muribaculum,Muribaculum-intestinale,NK4A214-group,Negativibacillus,Nostoc-PCC-73102,Nostocaceae,Odoribacter,Oscillibacter,Oscillospiraceae,Oscillospirales,Oxalobacter-formigenes,Paenarthrobacter,Paludicola,Parabacteroides,Parabacteroides-distasonis,Parabacteroides-goldsteinii,Parabacteroides-merdae,Parabacteroides-sp.,Parabacteroides-sp.-CT06,Paraprevotella,Parasutterella,Parasutterella-excrementihominis,Parvibacter,Pasteurellaceae-bacterium,Pedobacter,Peptococcaceae,Peptococcus,Peptoniphilus,Peptostreptococcaceae,Porphyromonas,Prevotella,Prevotellaceae,Prevotellaceae-UCG-001,Proteus,Providencia,Providencia-alcalifaciens,Pseudarthrobacter,Pseudomonas,RF39,Rhizobiaceae,Rhodococcus,Rhodospirillales,Rickettsia,Rikenella,Rikenella-sp.-Marseille-P3215,Rikenellaceae,Rikenellaceae-RC9-gut-group,Rikenellaceae-bacterium-DTU002,Romboutsia,Roseburia,Ruminiclostridium,Ruminococcaceae,Ruminococcus,Ruminococcus-sp.-N15.MGS-57,Shewanella,Sphingobium,Sphingomonas,Sphingopyxis,Streptococcus,Streptococcus-danieliae,Streptococcus-respiraculi,Streptomyces-sp.-Q1,Subdoligranulum,Subgroup-2,Tannerellaceae,Turicibacter,Turicimonas-muris,Tuzzerella,Tyzzerella,UBA1819,UCG-003,UCG-005,UCG-007,UCG-009,UCG-010,Vagococcus,Vagococcus-fluvialis,Veillonella,Verrucomicrobiaceae-bacterium-CHC8,Vibrio,Victivallis-vadensis,Wolbachia,Xanthobacteraceae,[Acetivibrio]-ethanolgignens-group,[Clostridium]-aldenense,[Clostridium]-cocleatum,[Clostridium]-innocuum-group,[Clostridium]-leptum,[Clostridium]-methylpentosum-group,[Eubacterium]-brachy-group,[Eubacterium]-coprostanoligenes-group,[Eubacterium]-fissicatena-group,[Eubacterium]-hallii-group,[Eubacterium]-nodatum-group,[Eubacterium]-oxidoreducens-group,[Eubacterium]-ventriosum-group,[Eubacterium]-xylanophilum-group,[Ruminococcus]-gnavus-group,[Ruminococcus]-torques-group,bacterium-enrichment-culture-clone-M153,gut-metagenome,human-gut-metagenome,marine-metagenome,metagenome,mouse-gut-metagenome
sample131,0,0.00118264,7.75502E-05,0,0,0,0,0,0,0,0,0.041179151,0,0.011622835,0,0,0,0,0,0,0,0.106117741,0,0,0,0,0.001851511,0,0.005302494,0,0,0,0,0,0,0,0,0,0,0,0.004178016,0.018369701,0.000242344,0.00300507,0,0,6.78564E-05,0,0,0,0.000756114,0.00043622,0.00066887,4.84689E-05,0,0.002820888,0.001812736,0,0,0,0,0,0,0.002365281,0,0.00154131,0,0,0,0,0.001424985,0.000232651,0,0,0,0,0,0,0,0,0,0,0,0,0.001861205,0.0051377,0,0,0,0,0,0.000174488,0,5.81626E-05,0,0,0,0.001250497,0.0001551,0,0.007454512,0,0,3.87751E-05,0,0,0,0,0.000213263,0,0,8.7244E-05,0.001987224,0,0,0,0,0,0,0,5.81626E-05,0,0,0,0,0,0,4.84689E-05,9.69377E-05,0,0.000533158,0,0.000106632,0,0.00035867,0,0,0,0,0.23753623,0,0,0,0,0,0,0,0,0,0,0.001551004,0.003431596,0.000271426,0,5.81626E-05,0,0,0,0.001395903,0,0,0.004827499,0.03691389,0,0.000756114,0,0.029701723,0,0.002859663,0,0.007367268,0.00110509,0,0,0,0,0,0,0.003848428,0,0,0,0,0,0,0,0,0,0.001424985,0,0,0,0,0.0001551,0,0,0,0.021927316,0.237933675,0.00888919,0,0.000300507,1.93875E-05,0,0,0.027365523,0.003993835,0.006824417,0,0,0,0,0.003712715,0.008288177,0.001134172,0.00138621,0.000552545,0,0,0.024166578,0,0,0,0,0.000862746,0,0,0.000659177,0,0,2.90813E-05,0.000300507,0,0,0,0,0,0,0,0,0,0,8.7244E-05,0,0,0.07403135,0,0,0.006766254,0,0.005166781,0,7.75502E-05,0,0,0,0,4.84689E-05,0,0,0,0,0,0,0,0,0.000940296,0,0.000387751,0,0,0,0.001434679,7.75502E-05,0,0,0,0,0,0,0,0,0,0,0,0,9.69377E-06,0,3.87751E-05,0.00043622,0,0,8.7244E-05,0,0,0.000688258,0,0,0,0.001803042,0,0,0,0.001444372
sample132,0,0.003461284,0.000427799,0,0,0,0,0,0,0,0,0.022307782,0,0.010656088,0,0,0,5.44472E-05,0,0,0,0.002434566,0,0,0,0,0,0,0.011223895,0,0,0,0,0,0,0,0,0,0,0,0.022603352,0.038074126,0,0.004939136,0,0,0.000217789,0.000210011,7.77817E-06,0,0.000855598,0.000427799,0.000676701,9.3338E-05,7.77817E-05,0.025294598,0.006199199,0,0,0,0,0,0,0.005118034,0.000155563,0.002146774,0,0,0,0,0,5.44472E-05,0,0,0,0,0,0,0,0,4.6669E-05,7.77817E-05,0,0,0.000614475,0.001221172,9.3338E-05,0,0,0,0,0.000155563,0,0,0,0,0,0.00157119,0.000840042,0,0.018099794,0,0,1.55563E-05,0,0,0,0,0,0,0.000116673,0,0.008470424,0,0,0,0,0,0,0,0.000692257,0,0,0,0,0,0,0.000140007,0,0,0,0,7.00035E-05,0,0.000155563,0,0,0,0,0.148080737,0,0,8.55598E-05,0,0,0,0,0,0,0,0.001804535,0.000824486,0.00017112,0,0.000101116,0,0,0,0.002068992,0.000163342,0,0.005576946,0.03899195,0,0.001718975,0,0.031797145,0,0.005592502,4.6669E-05,0.000770039,0.067491152,0,0,0,0,0,0,0.003103489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55598E-05,0,0,0,0.114953525,0.217026407,0.004262435,0,0.000280014,0.000676701,0,0,0.020083226,0.010018279,0.03360168,0,0,0,0,0.001275619,0.003850193,0.000505581,0.001578968,7.77817E-05,0,0,0.030692646,0,0,0,0,0.00157119,0,0,0,0,0,0,0,0.000116673,0,0,0,0,0,0,0,0,0,7.00035E-05,0,3.11127E-05,0.029207016,0,0,0.008797107,0,0.007054797,0,8.55598E-05,0,0,0,0,0.000124451,0,0,0,0,0,0,0,0,0.0017812,0,0.00017112,0,0.000140007,0,0.002831253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22253E-05,0,0,0,0.000311127,0,0,0.000684479,0,0,0,0.000910046,0,0,0,0.00857154
sample133,0,0.000619047,0.000775872,0,0,0,0,0,0,0,0,0.063827855,0,0.018224739,0,0,0,0.000148571,0,0,0,0.017803787,0,0,0,0,0.000148571,0,0.005133962,0,0,0,0,0,0,0,0,0,4.12698E-05,0,0.013354904,0.022921241,9.90475E-05,0.002921901,0,0,0.00031365,9.90475E-05,0,0,0.000850158,0.000610793,0.000652063,5.77777E-05,0,0.003070472,0.000965713,0,0,0,0,0,0,0.008080625,0,0.002839361,0,0,0,0,0.00273206,0.000264127,0,0,0,0,0,4.12698E-05,0,0,0,0,0,0.000107301,0.000949205,0.002996187,8.25396E-05,0,0,0,0,0.002476187,0,0,0,0,0,0,0.000132063,0,0.005728247,0,0,0,0,0,0,0,4.12698E-05,0,5.77777E-05,0,0.002575235,0,0,0,0,0,0,0,0.000668571,0,0,0,0,0,0,3.30158E-05,0,0.000156825,0.000140317,0,0.000140317,0,0.000165079,0,0,0,0,0.213967347,0,0,0,0,0,0,0,0,0,0,0.001048253,0.001345395,0,0,9.07935E-05,0,0,0,0.000825396,0,0,0.006330786,0.012851412,0,0.000544761,0,0.012587286,0,0.001956188,0,0.000371428,0.00356571,0,0,0,0,0,0,0.014749823,0,0,0,7.42856E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069399277,0.236170494,0.003466662,0,0.000189841,0.000107301,0,0,0.024563778,0.001675553,0.009054592,0,0,0,0,0.002781584,0.010119352,0.00079238,0.000519999,0.000965713,0,0,0.081351008,2.47619E-05,0,0,0,0.00047873,0,0,0,0,0,0,0.000321904,1.65079E-05,0,0,0,0,0,0,0,0,0,9.07935E-05,0,0,0.086567509,0,0,0.004746026,0,0.0034419,0,8.25396E-05,0,0,0,0,0.000189841,0,0,0,0,0,0,0,8.25396E-06,0.000916189,0,0.000272381,0,0,0,0.001114284,4.95237E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.65079E-05,0,2.47619E-05,0,0,0,0.000132063,0,0,0,0,0,0,0.003796821,0,0,0,0.003194282
sample134,0,0.002271769,4.76119E-05,0,0,0,0,0,0,0,0,0.106147379,0,0.037851478,0,0,0,0,0.000115629,0,0,0.01733074,0,0,0,2.04051E-05,0,0,0.012195454,0,0,0.000183646,0,0,0,0,0,0,0,0,0.019500483,0.048060834,0,0.003604903,0,0,0.000115629,0.000122431,0,0,0.000591748,0.000496524,0.001027057,6.12153E-05,0,0.020071826,0.003693325,0,0,0,0,0,0,0.004999252,0,0.005053665,0,0,0,0,0.000850213,0.003557291,0,0,0,0,0,0,0,0,0,0.000170043,0,0.000312878,0.000326482,0.000911428,0.00036049,0,0,0,0,0.002346588,0,0,0,0,0,0.000183646,0.000605352,0,0.011039164,0,0,0,0,0,0,0,0,0,0.000122431,0,0.010889527,0,0,0,0,0,0.000863816,0,0.000244861,0,0,5.44136E-05,0,0,0,4.08102E-05,0,4.08102E-05,0.000136034,0,0,0,0.000190448,0,0,0,0,0.11653358,0,0.000102026,2.72068E-05,0,0,0,0,0,0,0,0.002618656,0.004081022,0.00055774,0,9.52238E-05,0,0,0,0.001489573,0,0,0.006196352,0.038334399,0,0.002060916,0,0.01933044,0,0.006665669,0,0.002401001,0.000734584,0,0,0,0,0,0,0.016949844,0,0,0.000448912,6.12153E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023860375,0.18142863,0.004332685,0,0.0004013,0.000938635,0,0,0.023629117,0.009522384,0.023867176,0,0,0,7.48187E-05,0.004251064,0.018718287,0.000863816,0.002074519,0.000870618,3.40085E-05,6.12153E-05,0.023370652,1.36034E-05,0,0,0,0.002060916,0.000115629,0,0,0,0,0,6.12153E-05,0,0,0,0,0,0,0,0,0,0,6.12153E-05,0,0,0.108459958,0,0,0.006155541,0,0.013868673,0,0.000102026,0,3.40085E-05,0,0,0.000183646,0,0,0,0,0,0,0,0,0.000618955,0,0.000292473,0,4.08102E-05,0,0.005026459,8.16204E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08102E-05,0,0,0,0,8.84221E-05,0,0,0.000496524,0,0,0,0.00431228,0,0,0,0.004087824
sample135,0,0.00103443,0.000479105,0,0,0,0,0,0.000141554,0,0,0.053452819,0,0.032165335,0,0,0,0.00017422,0,0,0,0.020514384,0,0,0,0,4.3555E-05,0,0.00448616,0,0,0,0,0,0,0,0,0,0,0,0.011759838,0.053997256,0,0.002558854,0,0,0.000468216,0,0,0,0.000283107,0.00043555,0.000653324,0,0.000108887,0.004997931,0.001404647,0,0,0,0,0,0,0.00733901,0,0.004910821,0,0,0,0,0.001535312,0.000217775,0,0,0,0,0,0,0,0,9.79986E-05,0,0,0.000141554,0.006032361,0.000511771,8.71099E-05,0,0,0,0,0.01424247,0,0,0,0,0,0,0,0,0.004366384,0,0,4.3555E-05,0,0,0,0,0,0,0,0,0.003081513,0,0,0,0,0,0,0,0.000566214,0,0,0,0,0,0,2.17775E-05,0,0,0.000293996,0,0.001001764,0,0.000381106,0,0,0,0,0.218809208,0,0,0,0,0,0,0,0,0,0,0.001056208,0.001001764,0.000152442,0,7.62212E-05,0,0,0,0.000402883,0,0,0.004736601,0.014144472,0,0.000500882,0,0.012380496,0,0.003016181,0,0.000479105,0.000685991,0,0,0,0,0,0,0.025926087,0,0,0.000609769,0.000130665,0,0,5.44437E-05,0,0,0.001567978,0,0,0,0,0,0,0,0,0.008612992,0.225473116,0.004192164,0,0.000217775,0.000250441,0,0,0.02357412,0.002177748,0.006152137,0,0,4.3555E-05,0,0.004192164,0.020274832,0.000816655,0.001056208,0.001197761,0,0,0.035780396,2.17775E-05,0,0,0,0.000293996,5.44437E-05,0,0.000206886,0,0,0,0.000119776,5.44437E-05,0,0,0,0,0,0,0,0,0,6.53324E-05,0,3.26662E-05,0.120364119,0,0,0.005422592,0,0.004192164,0,0,0,0,0,0,0.000239552,0,0,0,0,0,0,0,0,0.000642436,0,0.000195997,0,0,0,0.001328426,0.000119776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53324E-05,0,0,0.000195997,0,0,0,0,0,0,0.006576798,0,0,0,0.006032361
sample136,0.000888336,0.00074874,0.000875646,0,0,0,0,0.000533002,0,0,0,0.017487532,0,0.015012881,0,0,0,0,0,0,0,0.006903641,0,0,0,0,0,0,0.007449333,0,0,0,0,0,0,0,0,0,0,0,0.005101588,0.016155027,0,0.001840125,0,0,0,0,0,0,0.001510171,0,0.000279191,0.000177667,0.000177667,0.017779413,0.006078757,0,0,0,0.000342644,0,0,0.004784325,0,0.001078694,0,0,0,0,0.00025381,0.003642178,0,0,0,0,0,0,0,0,8.88336E-05,5.07621E-05,0,0,0.002081245,0.000571073,0,0.000152286,0,0,0,0.003236082,0,0,0,0,0,0,0.000368025,0,0.016611886,0,0,0,0,0,0,0,0.000126905,0,0.000114215,0,0.007538167,0,0,0,0,0,0.00048224,0,0.000329953,0,0,0,0,0,0,0.000101524,0.000203048,0.000164977,0,0,0.000177667,0,0.00048224,0,0,0,0,0.218657597,0,0,0.000228429,0,0,7.61431E-05,0,0,0,0,0.004162489,0.005330017,0.00024112,0,0.000114215,0,0,0,0.001345195,0.001624386,0,0.006459473,0.025431795,0,0.002753842,0,0.040178175,0,0.002677699,0,0.000659907,0.11819947,0,0,0,0,0.002804604,0,0.002487341,0,0,0,6.34526E-05,0,0,0,0,0,0,7.61431E-05,0,0,0,6.34526E-05,0,0,0,0.001916268,0.24846762,0.010444295,0,0.000862955,0.000152286,0,0,0.022957144,0.00713207,0.022411452,8.88336E-05,0,0.000152286,0,0.001383266,0.003413749,0.000824884,0.005215802,0.00048224,8.88336E-05,0,0.032373507,0,0,0,0,0.001776672,0.000101524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80715E-05,0,1.26905E-05,0.022056117,0,0,0.017233721,0,0.011840252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004797015,0,0.000177667,0,1.26905E-05,0,0.004352847,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34526E-05,0,0,0,0,0,6.34526E-05,0,0,0,0,0,0,0.001573624,0,0,0,0.001916268
sample137,0,0.000905229,0.00041037,0,0,0,0,0,0,0,0,0.014664703,0,0.042811278,0,0,0,0.000181046,0.000120697,0,0,0.077704823,0,0,0,4.82789E-05,9.65577E-05,0,0.00423647,0,0,0,0,0,0,0,0,0,0,0,0.010947231,0.009860957,0,0.003572636,0,0,0.000120697,0,0,0,0.000917298,0.000337952,0.001436296,0,8.4488E-05,0.012214551,0.003632984,0,0,0,0.000181046,0,0,0.003874378,0,0.004948583,0,0,0,0,0.021037513,0.001665621,0,0,0,3.62091E-05,0,0,0,0,0.000156906,0.000156906,0,0.000120697,0.008352243,0.002088061,0.000108627,0,0,0,0,0.009462656,0,0,0,0,0,0.000241394,0,0,0.01309564,0,0,0,0,0,0,0,0,0,0,3.62091E-05,0.004852025,0,0,0,0,0,0.000579346,0,0.000374161,0,0,0,0,0,0,0,0,0,0.000193115,0,0.000386231,0,0.000229325,0,0,0,0.000132767,0.139489692,0,0,0.001134553,0,0,0,0,0,0,0,0.005539999,0.003669193,0.000301743,0,7.24183E-05,0,0,0,0.001870806,0,0,0.007060783,0.020916816,0,0.001593202,0,0.015750978,0,0.002896732,0,0.003717472,0.002486361,0,0,0,0,0,0,0.010186839,0,0,0,0,0,0,0.000168976,0,0.000144837,0,0,0,0,0,0,0,0,0,0.013180128,0.248599913,0.007084923,0.000301743,0.000325882,0.000893159,0,0,0.025648144,0.013807754,0.017018298,0,0,6.03486E-05,6.03486E-05,0.004514073,0.01903394,0.000651765,0.001774248,0.000374161,0,0,0.021182349,1.20697E-05,0,0,0,0.001339738,9.65577E-05,0,0,0,0,0,0,0,0,0,0,0,6.03486E-05,0,0,0,0,0.000144837,0,9.65577E-05,0.107106648,0,0,0.008798822,0,0.00972819,0,0,0,0,0,0,0.000325882,0,0,0,0,0,0,0,0,0.00168976,0,0.000241394,0,7.24183E-05,0,0.000603486,0.000108627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132767,0,0,0.001653551,6.03486E-05,0.000518998,0,0,0.000687974,0,0,0,0.006831459,0,0,0.000132767,0.01143002
sample138,0,0.000331402,0,0,0,0,0,0,0,0,0,0.05026711,0,0.028116176,0,0,0,0,0.000159073,0,0,0.0532895,0,0,0,0,0,0,0.004692657,0,0,0,0,0,0,0,0,0,2.65122E-05,0,0.017299203,0.025027506,0,0.002531914,0,0,0.000172329,0.000132561,0,0,0.000344658,0.000344658,0.001431658,0,0.000145817,0.004520328,0.002624707,0,0,0,0,0,0,0.007860864,0,0.005607328,0,0,0,0,0.000596524,0.00617734,0,0,0,0,0,0,0,0,0,0.000251866,0,0,0.001683524,0.006508742,0,0,0,0,0,0.000172329,0,0,0,0,0,0.002107719,0,0,0.009703461,0,0,0,0,0,0,0,0.000371171,0,0,0,0.004467304,0,0,0,0,0,0,0,0.001418402,0,0,0,0,0,0,0,0,0,0.000490475,0,0.000503732,0,0.00030489,0,0,0,0,0.155401196,0,0,0,0,0,0,0,0,0,0,0.003658682,0.011665363,0.000172329,0,0.000132561,0,0,0,0.000331402,0,0,0.004652889,0.022535361,0,0.000941183,0,0.013839363,0,0.003804499,0,0.004652889,0.00302239,0,0,0,0,0,0,0.001272585,0,0,0,0,0,0,0,0,5.30244E-05,0.000357915,0,0,0,0,5.30244E-05,0,0,0,0.003300768,0.308310246,0.004016597,0,0.000808622,0.001259329,0,0,0.029004335,0.005196389,0.00896112,0,0,0,0.000119305,0.002107719,0.008828559,0.0005435,0.001842597,0.000941183,0,0,0.050293622,0,0,0,0,0.000463963,6.62805E-05,0,0,0,0,0,0,0,0,0,0,0,2.65122E-05,0,0,0,0,6.62805E-05,0,0,0.074751117,0,0,0.005130109,0,0.004454048,0,3.97683E-05,0,7.95366E-05,0,0,0.000119305,0,0,0,0,0,0,0,0,0.001484683,0,0.000397683,0,0,0,0.003459841,0.000371171,0,0,0,0,0,0,0,0,0,0,0,0,9.27927E-05,0,3.97683E-05,3.97683E-05,0.002704243,0,0.000437451,0,0,0.000662805,0,0,0,0.008019937,0,0,0,0.00532895
sample139,0,0.001307404,3.13151E-05,0,0,0,0,0,0,0,0,0.032317159,0,0.008024488,0,0,0,0.000117432,0.000101774,0,0,0.006004666,0,0,0,0,0.000234863,0,0.002935788,0,0,7.82877E-05,0,0,0,0,0,0,0,0,0.004102275,0.016589162,0,0.00133872,0,0,6.26302E-05,0,0,0,0,0,0.000579329,0,0.001009911,0.002043309,0.00089248,0,0,0,0,0,0,0.007445159,0,0.003522946,0,0,0,0,0.002231199,0.009590242,0,0,0,0,0,0,0,0,0.000274007,0.000164404,0,7.82877E-05,0.001683185,0.007539105,0.000109603,0,0,0,0,0.000289664,0,0,0,0,0,0,0,0,0.004297994,0,0,0,0,0,0,0,0.000219206,0,0,0,0.001260432,0,0,0,0,0,0.000172233,0,0.000759391,0,0,0,0,0,0,0,4.69726E-05,0.000140918,9.39452E-05,0,7.04589E-05,0,0.000430582,0,0,0,0,0.247271674,0,0,8.61165E-05,0,0,0,0,0,0,0,0.002505206,0.000978596,0.000148747,0,6.26302E-05,0,2.34863E-05,0,0.000289664,0,0,0.004407597,0.019125683,0,0.000430582,0,0.019415348,0,0.001902391,0,0.00050887,0.000555843,0,0,0,0,0,0,0.020464403,0,0,0,4.69726E-05,0,0,0,0,6.26302E-05,0,0,0,0,0,0,0,0,0,0.032974776,0.3065746,0.003248939,0,0.000360123,0.000438411,0,0,0.02455102,0.002794871,0.006795372,0,0,0,7.04589E-05,0.001268261,0.003663864,0.000407096,0.000501041,0.000297493,0,0,0.085380556,3.91438E-05,0,0,0,0.000430582,0,0,0.000399267,0,0,2.34863E-05,0,5.48014E-05,0,0,0,0,0,0,0,0,0,0.000101774,0,4.69726E-05,0.074052327,0,0,0.008353297,2.34863E-05,0.004548515,0,0,0,5.48014E-05,0,0,0,0,0,0,0,0,0,0,0,0.000923795,0,0.000328808,0,3.13151E-05,0,0.00082985,0.00018789,1.56575E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000234863,0,0,0,0,0.000172233,0,0,0.000297493,0,0,0,0.002004165,0,0,0,0.001041226
sample140,0,0.000890861,0.000235322,0,0,0,0,0,0,0,0.000285748,0.018371909,0,0.019968736,0,0,0,0,0,0,0,0.052459953,0,0,0,0,0,0,0.003613871,0,0,0.000168087,0,0,0,0,0,0,0,0,0.006034323,0.016724657,0,0.00206747,0,0,0,0,0,0,0.000151278,0,0,0,0.000790009,0.005210697,0.008488394,0,0,0,0,0,0,0.004672819,0,0.004067705,0,0,0,0,0.004639201,0.002941523,0,0,0,0,0,0,0,0,6.72348E-05,0.000235322,0,0.000319365,0.00490814,0.003529827,0,0,0,0,0,0.000470644,0,0,0,0,0,0,0,0,0.009816281,0,0,0.000117661,0,0,0,0,0.000201704,0,0,0,0.006790715,0,0,0,0,0,0,0,0.000369791,0,0,0,0,0,0,0,0,0.000268939,6.72348E-05,0,6.72348E-05,0,0.000655539,0,0,0,0,0.139966046,0,0,0.001361505,0,0,0,0,0,0,0,0.001210226,0.009849898,0,0,0,0,0,0,0.000739583,0,0,0.005160271,0.019750223,0,0.001142992,0,0.015867413,0,0.002403644,0,0.010253307,0.094380852,0,0,0,0,0,0,0.007916898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258854,0.296892071,0.00633688,0,0.001042139,0.000621922,0,0,0.049837796,0.007664767,0.009984368,0,0,0,0.000100852,0.001916192,0.007580724,0.000571496,0.002235557,0.000739583,0,0,0.051300153,0,0,0,0,0.000705965,0.000117661,0,0,0,0,0,0,0,0,0,0,0,0.000100852,0,0,0,0,0,0,0,0.036928714,0,0,0.01021969,0,0.00840435,0,0.000117661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001142992,0,0.000218513,0,8.40435E-05,0,0.001327887,0.000319365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002437262,0,0,0,0,0.000857244,0,0,0,0.006017515,0,0,0,0.001916192
